[26/Jun/2019 12:13:45] INFO [django.utils.autoreload:584] Watching for file changes with StatReloader
[26/Jun/2019 12:13:45] DEBUG [django.utils.autoreload:275] Waiting for apps ready_event.
[26/Jun/2019 12:13:45] DEBUG [django.utils.autoreload:286] Apps ready_event triggered. Sending autoreload_started signal.
[26/Jun/2019 12:13:45] DEBUG [django.utils.autoreload:234] Watching dir /home/hb/django/porlosjovenes/porlosjovenes/locale with glob **/*.mo.
[26/Jun/2019 12:13:45] DEBUG [django.utils.autoreload:234] Watching dir /home/hb/django/porlosjovenes/porlosjovenes/home/locale with glob **/*.mo.
[26/Jun/2019 12:13:45] DEBUG [django.utils.autoreload:234] Watching dir /home/hb/django/porlosjovenes/porlosjovenes/search/locale with glob **/*.mo.
[26/Jun/2019 12:13:45] DEBUG [django.utils.autoreload:234] Watching dir /home/hb/.virtualenvs/porlosjovenes/lib/python3.5/site-packages/wagtail/contrib/forms/locale with glob **/*.mo.
[26/Jun/2019 12:13:45] DEBUG [django.utils.autoreload:234] Watching dir /home/hb/.virtualenvs/porlosjovenes/lib/python3.5/site-packages/wagtail/contrib/redirects/locale with glob **/*.mo.
[26/Jun/2019 12:13:45] DEBUG [django.utils.autoreload:234] Watching dir /home/hb/.virtualenvs/porlosjovenes/lib/python3.5/site-packages/wagtail/embeds/locale with glob **/*.mo.
[26/Jun/2019 12:13:45] DEBUG [django.utils.autoreload:234] Watching dir /home/hb/.virtualenvs/porlosjovenes/lib/python3.5/site-packages/wagtail/sites/locale with glob **/*.mo.
[26/Jun/2019 12:13:45] DEBUG [django.utils.autoreload:234] Watching dir /home/hb/.virtualenvs/porlosjovenes/lib/python3.5/site-packages/wagtail/users/locale with glob **/*.mo.
[26/Jun/2019 12:13:45] DEBUG [django.utils.autoreload:234] Watching dir /home/hb/.virtualenvs/porlosjovenes/lib/python3.5/site-packages/wagtail/snippets/locale with glob **/*.mo.
[26/Jun/2019 12:13:45] DEBUG [django.utils.autoreload:234] Watching dir /home/hb/.virtualenvs/porlosjovenes/lib/python3.5/site-packages/wagtail/documents/locale with glob **/*.mo.
[26/Jun/2019 12:13:45] DEBUG [django.utils.autoreload:234] Watching dir /home/hb/.virtualenvs/porlosjovenes/lib/python3.5/site-packages/wagtail/images/locale with glob **/*.mo.
[26/Jun/2019 12:13:45] DEBUG [django.utils.autoreload:234] Watching dir /home/hb/.virtualenvs/porlosjovenes/lib/python3.5/site-packages/wagtail/search/locale with glob **/*.mo.
[26/Jun/2019 12:13:45] DEBUG [django.utils.autoreload:234] Watching dir /home/hb/.virtualenvs/porlosjovenes/lib/python3.5/site-packages/wagtail/admin/locale with glob **/*.mo.
[26/Jun/2019 12:13:45] DEBUG [django.utils.autoreload:234] Watching dir /home/hb/.virtualenvs/porlosjovenes/lib/python3.5/site-packages/wagtail/core/locale with glob **/*.mo.
[26/Jun/2019 12:13:45] DEBUG [django.utils.autoreload:234] Watching dir /home/hb/.virtualenvs/porlosjovenes/lib/python3.5/site-packages/modelcluster/locale with glob **/*.mo.
[26/Jun/2019 12:13:45] DEBUG [django.utils.autoreload:234] Watching dir /home/hb/.virtualenvs/porlosjovenes/lib/python3.5/site-packages/taggit/locale with glob **/*.mo.
[26/Jun/2019 12:13:45] DEBUG [django.utils.autoreload:234] Watching dir /home/hb/.virtualenvs/porlosjovenes/lib/python3.5/site-packages/django/contrib/admin/locale with glob **/*.mo.
[26/Jun/2019 12:13:45] DEBUG [django.utils.autoreload:234] Watching dir /home/hb/.virtualenvs/porlosjovenes/lib/python3.5/site-packages/django/contrib/auth/locale with glob **/*.mo.
[26/Jun/2019 12:13:45] DEBUG [django.utils.autoreload:234] Watching dir /home/hb/.virtualenvs/porlosjovenes/lib/python3.5/site-packages/django/contrib/contenttypes/locale with glob **/*.mo.
[26/Jun/2019 12:13:45] DEBUG [django.utils.autoreload:234] Watching dir /home/hb/.virtualenvs/porlosjovenes/lib/python3.5/site-packages/django/contrib/sessions/locale with glob **/*.mo.
[26/Jun/2019 12:13:45] DEBUG [django.utils.autoreload:234] Watching dir /home/hb/.virtualenvs/porlosjovenes/lib/python3.5/site-packages/django/contrib/messages/locale with glob **/*.mo.
[26/Jun/2019 12:13:45] DEBUG [django.utils.autoreload:234] Watching dir /home/hb/.virtualenvs/porlosjovenes/lib/python3.5/site-packages/django/contrib/staticfiles/locale with glob **/*.mo.
[26/Jun/2019 12:13:45] DEBUG [django.utils.autoreload:234] Watching dir /home/hb/.virtualenvs/porlosjovenes/lib/python3.5/site-packages/wagtail/contrib/postgres_search/locale with glob **/*.mo.
[26/Jun/2019 12:13:45] DEBUG [django.utils.autoreload:234] Watching dir /home/hb/.virtualenvs/porlosjovenes/lib/python3.5/site-packages/wagtail/contrib/routable_page/locale with glob **/*.mo.
[26/Jun/2019 12:13:45] DEBUG [django.utils.autoreload:234] Watching dir /home/hb/.virtualenvs/porlosjovenes/lib/python3.5/site-packages/wagtail/contrib/settings/locale with glob **/*.mo.
[26/Jun/2019 12:13:45] DEBUG [django.utils.autoreload:234] Watching dir /home/hb/.virtualenvs/porlosjovenes/lib/python3.5/site-packages/wagtailmetadata/locale with glob **/*.mo.
[26/Jun/2019 12:13:45] DEBUG [django.utils.autoreload:234] Watching dir /home/hb/.virtualenvs/porlosjovenes/lib/python3.5/site-packages/wagtail_2fa/locale with glob **/*.mo.
[26/Jun/2019 12:13:45] DEBUG [django.utils.autoreload:234] Watching dir /home/hb/.virtualenvs/porlosjovenes/lib/python3.5/site-packages/django_otp/locale with glob **/*.mo.
[26/Jun/2019 12:13:45] DEBUG [django.utils.autoreload:234] Watching dir /home/hb/.virtualenvs/porlosjovenes/lib/python3.5/site-packages/django_otp/plugins/otp_totp/locale with glob **/*.mo.
[26/Jun/2019 12:13:45] DEBUG [django.utils.autoreload:234] Watching dir /home/hb/.virtualenvs/porlosjovenes/lib/python3.5/site-packages/debug_toolbar/locale with glob **/*.mo.
[26/Jun/2019 12:13:47] DEBUG [django.utils.autoreload:338] File /usr/lib/python3.5/keyword.py first seen with mtime 1538064151.0
[26/Jun/2019 12:13:47] DEBUG [django.utils.autoreload:338] File /usr/lib/python3.5/quopri.py first seen with mtime 1538064139.0
[26/Jun/2019 12:13:47] DEBUG [django.utils.autoreload:338] File /home/hb/.virtualenvs/porlosjovenes/lib/python3.5/site-packages/django/views/generic/base.py first seen with mtime 1559839163.2004156
[26/Jun/2019 12:13:47] DEBUG [django.utils.autoreload:338] File /usr/lib/python3.5/xml/parsers/__init__.py first seen with mtime 1538064122.0
[26/Jun/2019 12:13:47] DEBUG [django.utils.autoreload:338] File /home/hb/.virtualenvs/porlosjovenes/lib/python3.5/site-packages/wagtail/admin/search.py first seen with mtime 1556929935.346463
[26/Jun/2019 12:13:47] DEBUG [django.utils.autoreload:338] File /home/hb/.virtualenvs/porlosjovenes/lib/python3.5/site-packages/wagtail/documents/forms.py first seen with mtime 1556929935.9824762
[26/Jun/2019 12:13:47] DEBUG [django.utils.autoreload:338] File /usr/lib/python3.5/codecs.py first seen with mtime 1538064121.0
[26/Jun/2019 12:13:47] DEBUG [django.utils.autoreload:338] File /usr/lib/python3.5/weakref.py first seen with mtime 1538064121.0
[26/Jun/2019 12:13:47] DEBUG [django.utils.autoreload:338] File /home/hb/.virtualenvs/porlosjovenes/lib/python3.5/site-packages/treebeard/numconv.py first seen with mtime 1552927266.653983
[26/Jun/2019 12:13:47] DEBUG [django.utils.autoreload:338] File /home/hb/.virtualenvs/porlosjovenes/lib/python3.5/site-packages/wagtail/admin/rich_text/editors/draftail/__init__.py first seen with mtime 1556929935.6584694
[26/Jun/2019 12:13:47] DEBUG [django.utils.autoreload:338] File /usr/lib/python3.5/tokenize.py first seen with mtime 1538064121.0
[26/Jun/2019 12:13:47] DEBUG [django.utils.autoreload:338] File /home/hb/.virtualenvs/porlosjovenes/lib/python3.5/site-packages/django/contrib/admin/templatetags/__init__.py first seen with mtime 1559839162.7803996
[26/Jun/2019 12:13:47] DEBUG [django.utils.autoreload:338] File /home/hb/pycharm-2017.2.3/helpers/pydev/_pydev_bundle/pydev_log.py first seen with mtime 1504275289.0
[26/Jun/2019 12:13:47] DEBUG [django.utils.autoreload:338] File /home/hb/.virtualenvs/porlosjovenes/lib/python3.5/site-packages/wagtail/api/v2/utils.py first seen with mtime 1556929935.9824762
[26/Jun/2019 12:13:47] DEBUG [django.utils.autoreload:338] File /home/hb/.virtualenvs/porlosjovenes/lib/python3.5/site-packages/django/views/decorators/csrf.py first seen with mtime 1559839163.2004156
[26/Jun/2019 12:13:47] DEBUG [django.utils.autoreload:338] File /home/hb/.virtualenvs/porlosjovenes/lib/python3.5/site-packages/wagtail/users/utils.py first seen with mtime 1556929935.9504757
[26/Jun/2019 12:13:47] DEBUG [django.utils.autoreload:338] File /home/hb/.virtualenvs/porlosjovenes/lib/python3.5/site-packages/wagtail/users/models.py first seen with mtime 1556929935.9504757
[26/Jun/2019 12:13:47] DEBUG [django.utils.autoreload:338] File /home/hb/.virtualenvs/porlosjovenes/lib/python3.5/site-packages/urllib3/fields.py first seen with mtime 1559919999.3927124
[26/Jun/2019 12:13:47] DEBUG [django.utils.autoreload:338] File /home/hb/.virtualenvs/porlosjovenes/lib/python3.5/site-packages/django/contrib/__init__.py first seen with mtime 1559839162.6723955
[26/Jun/2019 12:13:47] DEBUG [django.utils.autoreload:338] File /home/hb/.virtualenvs/porlosjovenes/lib/python3.5/site-packages/pkg_resources/_vendor/appdirs.py first seen with mtime 1552927177.4685993
[26/Jun/2019 12:13:47] DEBUG [django.utils.autoreload:338] File /home/hb/.virtualenvs/porlosjovenes/lib/python3.5/site-packages/rest_framework/viewsets.py first seen with mtime 1552927250.3497286
[26/Jun/2019 12:13:47] DEBUG [django.utils.autoreload:338] File /home/hb/.virtualenvs/porlosjovenes/lib/python3.5/site-packages/wagtail/documents/views/__init__.py first seen with mtime 1556929936.018477
[26/Jun/2019 12:13:47] DEBUG [django.utils.autoreload:338] File /home/hb/.virtualenvs/porlosjovenes/lib/python3.5/site-packages/html5lib/_trie/_base.py first seen with mtime 1552927248.7497036
[26/Jun/2019 12:13:47] DEBUG [django.utils.autoreload:338] File /home/hb/pycharm-2017.2.3/helpers/pydev/_pydevd_bundle/pydevd_process_net_command.py first seen with mtime 1504275289.0
[26/Jun/2019 12:13:47] DEBUG [django.utils.autoreload:338] File /home/hb/pycharm-2017.2.3/helpers/pydev/_pydevd_bundle/pydevd_frame_utils.py first seen with mtime 1504275289.0
[26/Jun/2019 12:13:47] DEBUG [django.utils.autoreload:338] File /home/hb/.virtualenvs/porlosjovenes/lib/python3.5/site-packages/chardet/chardistribution.py first seen with mtime 1552927265.5139654
[26/Jun/2019 12:13:47] DEBUG [django.utils.autoreload:338] File /home/hb/.virtualenvs/porlosjovenes/lib/python3.5/site-packages/django/contrib/auth/__init__.py first seen with mtime 1559839162.8284013
[26/Jun/2019 12:13:47] DEBUG [django.utils.autoreload:338] File /home/hb/.virtualenvs/porlosjovenes/lib/python3.5/site-packages/wagtail/embeds/rich_text/editor_html.py first seen with mtime 1556929936.054478
[26/Jun/2019 12:13:47] DEBUG [django.utils.autoreload:338] File /home/hb/.virtualenvs/porlosjovenes/lib/python3.5/site-packages/django/dispatch/dispatcher.py first seen with mtime 1559839163.1724145
[26/Jun/2019 12:13:47] DEBUG [django.utils.autoreload:338] File /home/hb/.virtualenvs/porlosjovenes/lib/python3.5/site-packages/wagtail/contrib/routable_page/models.py first seen with mtime 1556929935.7064705
[26/Jun/2019 12:13:47] DEBUG [django.utils.autoreload:338] File /home/hb/.virtualenvs/porlosjovenes/lib/python3.5/site-packages/psycopg2/_ipaddress.py first seen with mtime 1559848547.503554
